ID,samplegroup,qzip,q1,q2a_1,q2a_2,q2a_3,q2a_4,q2a_5,q2a_6,q2a_7,q2ba_1,q2ba_2,q2ba_3,q2ba_4,q2bb_1,q2bb_2,q2bb_3,q2bb_4,q2bc_1,q2bc_2,q2bc_3,q2bc_4,q2bd_1,q2bd_2,q2bd_3,q2bd_4,q2be_1,q2be_2,q2be_3,q2be_4,q2bf_1,q2bf_2,q2bf_3,q2bf_4,q4_1,q4_2,q4_3,q4_4,q4_5,q4_6,q4_7,q4_8,q4_9,q7,q12a_1,q12a_2,q12a_3,q12b_4,q12b_5,q16a_1,q16a_2,q16a_3,q16a_4,q16a_5,q16a_6,q16a_7,q16a_8,q16b_9,q16b_10,q16b_11,q16b_12,q16b_13,q16b_14,q16b_15,q16c_16,q16c_17,q16c_18,q16c_19,q16c_20,q16c_21,q16c_22,q20,q29,POV,POV135,POV400,ethnicity,q6R,q20R,Age_range2,Age_range3,Age2_range2,Age2_range3,INCOME
4114,1,98107,1,2,3,5,0,0,0,,0,,,,1,2,,,1,,,,0,,,,1,,,,0,,,,2,4,,,,,,,,3,2,1,1,2,1,3,5,5,1,2,2,2,1,1,1,3,4,2,4,1,3,3,5,2,4,2,4,1,12,0,0,0,1,4,5,1,2,1,2,5
4115,4,98125,1,4,5,0,0,0,0,,0,,,,0,,,,0,,,,1,,,,1,,,,0,,,,3,,,,,,,,,1,3,1,1,1,1,4,3,1,1,4,3,5,2,2,1,3,5,5,3,1,4,5,5,3,5,3,5,1,1,1,1,1,5,4,5,3,3,,,1
4116,1,98115,1,1,2,3,4,5,6,,1,,,,1,2,,,1,2,,,1,,,,1,,,,1,,,,3,4,,,,,,,,0,1,1,1,1,1,5,4,2,1,1,2,4,1,1,2,3,4,4,4,2,3,1,5,2,3,4,3,2,13,0,0,0,1,4,4,5,4,4,3,6
4117,1,98116,1,1,2,3,4,0,6,,1,,,,1,,,,1,,,,1,,,,0,,,,1,,,,3,,,,,,,,4,4,1,1,1,1,1,3,4,5,1,2,3,2,1,2,1,4,5,4,4,1,3,4,4,3,4,2,4,1,13,0,0,0,1,5,5,,,,,6
4118,1,98116,1,1,2,3,4,5,6,,1,,,,1,2,,,1,,,,1,,,,1,,,,1,,,,3,4,,,,,,,,99,1,1,1,1,1,4,5,5,1,2,2,4,2,2,1,2,3,4,5,2,3,4,4,1,3,4,4,3,12,0,0,0,1,4,3,1,2,2,3,5
4119,4,98105,1,2,3,4,5,6,0,,0,,,,1,2,,,1,2,,,1,2,,,1,,,,1,,,,3,4,,,,,,,,4,2,2,2,2,2,3,5,2,1,2,2,3,1,1,1,3,4,2,5,2,3,2,2,3,5,4,5,1,14,0,0,0,1,5,5,3,3,3,3,7
4120,5,0,1,0,0,3,0,0,0,,7,,,,7,,,,1,,,,7,,,,7,,,,7,,,,4,,,,,,,,,99,1,1,1,1,2,4,5,5,3,4,4,3,3,3,4,5,4,5,4,3,3,5,5,5,5,0,3,0,0,0,0,0,8,1,0,,,,,0
4121,1,98115,1,0,2,3,0,0,0,,0,,,,1,,,,1,,,,0,,,,0,,,,0,,,,0,,,,,,,,,0,0,0,0,0,0,3,0,0,1,1,2,0,1,1,1,4,4,5,5,3,2,5,5,5,5,5,5,2,10,0,0,0,1,0,4,,,,,3
4122,1,98118,2,1,3,4,0,0,0,,1,,,,0,,,,1,,,,1,,,,0,,,,0,,,,8,,,,,,,,,98,1,1,1,1,1,1,2,1,1,4,2,3,4,3,1,4,4,5,5,3,3,5,5,2,4,4,5,1,7,0,1,1,2,8,5,4,3,2,2,2
4123,1,98125,1,2,3,4,5,6,0,,0,,,,1,2,,,1,,,,1,,,,1,,,,1,,,,3,4,,,,,,,,99,1,1,1,1,1,4,4,5,1,3,3,4,1,1,1,4,4,3,4,1,1,2,5,1,4,4,5,1,14,0,0,0,3,5,5,2,2,1,2,7
4124,1,98125,1,1,2,3,0,0,0,,1,,,,1,,,,1,,,,0,,,,0,,,,0,,,,1,,,,,,,,,99,1,1,1,1,1,1,4,4,1,3,3,4,3,2,2,3,4,4,4,2,3,4,4,3,3,3,4,3,9,0,0,1,1,3,3,3,3,4,3,2
4125,4,98144,1,1,2,3,4,0,0,,1,,,,1,,,,1,2,,,1,,,,0,,,,0,,,,1,,,,,,,,,2,1,1,1,1,1,2,5,1,1,2,2,1,1,1,1,2,4,3,3,1,3,3,4,1,5,4,3,2,13,0,0,0,1,4,4,4,4,4,3,6
4126,3,98116,1,0,0,3,4,0,0,,0,,,,0,,,,1,,,,1,,,,0,,,,0,,,,3,,,,,,,,,99,1,0,0,0,0,5,4,0,1,5,5,5,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,3,4,0,0,1,1,4,3,7,5,,,1
4127,1,98115,1,1,2,3,4,0,0,,1,,,,1,,,,1,,,,1,,,,0,,,,0,,,,3,,,,,,,,,99,0,0,0,0,0,4,5,5,1,2,3,5,5,5,5,3,5,5,5,3,3,5,5,5,5,3,5,2,0,0,0,0,1,4,4,6,5,6,5,0
4129,2,98122,1,1,2,3,0,5,0,,1,,,,1,,,,1,,,,7,,,,1,,,,7,,,,2,4,,,,,,,,4,1,1,1,1,1,4,5,2,1,2,3,5,2,1,1,3,5,5,5,2,3,5,5,1,5,2,5,1,7,0,0,1,3,5,5,1,2,1,1,2
4130,2,98125,1,0,2,3,4,0,6,,7,,,,1,2,,,1,,,,1,,,,7,,,,1,,,,3,4,6,,,,,,,3,1,1,1,1,1,1,4,4,1,1,2,4,1,2,1,2,4,3,4,1,2,1,4,2,5,3,2,2,13,0,0,0,1,4,4,2,3,2,3,6
4131,4,98105,1,2,3,0,0,0,0,,0,,,,1,2,,,1,,,,0,,,,0,,,,0,,,,3,,,,,,,,,99,2,2,2,2,2,3,5,1,1,2,2,4,2,1,1,2,4,4,4,2,2,2,5,3,4,5,5,2,14,0,0,0,1,4,4,3,3,3,3,7
4132,1,98103,1,1,2,3,4,0,0,,1,,,,1,,,,1,,,,1,,,,0,,,,0,,,,1,,,,,,,,,3,1,1,1,1,1,2,4,5,1,1,1,4,1,1,4,2,5,4,4,2,2,2,5,4,5,4,5,1,15,0,0,0,8,5,5,,,,,0
4133,1,98118,1,2,3,0,0,0,0,,0,,,,1,,,,1,,,,0,,,,0,,,,0,,,,3,4,,,,,,,,4,1,1,1,1,1,4,4,5,1,4,3,5,1,4,2,4,5,5,4,1,4,5,5,5,5,5,5,3,11,0,0,0,3,5,3,6,5,6,5,4
4134,1,98118,2,7,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,8,,,,,,,,,98,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,0,1,1,1,8,1,,,,,1
4136,1,98118,1,1,2,3,4,0,0,,1,,,,1,,,,1,,,,1,,,,0,,,,0,,,,3,,,,,,,,,3,1,1,1,1,3,1,1,0,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,3,0,5,1,4,0,0,1,2,4,5,5,4,,,1
4137,1,98103,1,1,2,3,0,0,0,,1,,,,1,,,,1,,,,0,,,,0,,,,0,,,,3,,,,,,,,,4,2,1,1,2,2,4,5,5,1,2,2,2,1,1,1,4,4,2,4,1,4,3,2,2,4,4,2,1,14,0,0,0,1,5,5,2,2,2,2,7
4138,1,98112,1,1,2,3,4,0,0,,1,,,,1,2,,,1,2,,,1,,,,0,,,,0,,,,3,4,,,,,,,,2,1,1,1,1,1,3,5,4,1,2,2,5,1,1,1,3,1,4,5,1,3,1,3,1,4,2,5,3,13,0,0,0,1,3,3,2,2,1,2,6
4139,3,98136,1,1,0,3,0,0,0,,1,,,,7,,,,1,,,,7,,,,7,,,,7,,,,3,,,,,,,,,99,2,0,0,0,0,3,4,5,0,2,1,5,1,3,5,2,0,5,4,5,3,5,5,3,5,5,5,2,4,0,0,1,1,4,4,7,5,,,1
4140,1,98118,1,1,2,3,4,0,0,,1,,,,2,,,,1,,,,4,,,,0,,,,0,,,,1,4,,,,,,,,1,1,1,1,1,1,4,5,5,2,3,2,5,2,2,1,3,2,3,4,2,3,3,5,2,4,3,3,2,10,0,0,0,1,3,4,4,3,,,3
4141,1,98118,1,2,3,4,0,0,0,,0,,,,1,3,,,1,,,,1,,,,0,,,,0,,,,4,,,,,,,,,99,2,1,1,2,1,2,4,2,1,2,2,5,1,1,1,3,4,4,4,1,4,2,5,1,4,4,4,1,9,0,0,1,1,2,5,5,4,1,2,2
4142,1,98107,1,1,2,3,4,6,0,,1,,,,1,,,,1,,,,1,,,,0,,,,1,,,,3,,,,,,,,,99,0,0,0,0,0,4,4,4,1,2,2,4,4,1,4,4,5,4,4,1,4,4,3,3,4,3,4,2,13,0,0,0,1,5,4,5,4,5,4,6
4143,1,98116,1,1,2,3,0,0,0,,1,,,,1,,,,1,,,,0,,,,0,,,,0,,,,3,4,,,,,,,,99,1,1,1,1,1,4,5,5,1,2,1,4,1,2,1,4,4,5,5,4,2,2,4,3,3,3,4,1,12,0,0,0,1,4,5,,,,,5
4144,1,98133,1,1,3,4,6,0,0,,1,,,,0,,,,1,,,,1,,,,0,,,,1,,,,3,,,,,,,,,2,2,1,1,1,1,3,5,5,2,1,3,4,2,1,1,2,4,5,4,1,2,5,5,3,4,4,5,2,11,0,0,0,1,4,4,4,4,5,4,4
4145,4,98112,1,2,3,4,6,0,0,,0,,,,1,2,,,1,,,,1,,,,0,,,,1,2,,,1,4,,,,,,,,99,1,1,1,1,1,4,5,3,1,3,3,5,1,2,1,3,5,4,4,2,4,2,5,3,5,4,5,2,15,0,0,0,1,5,4,4,3,,,0
4146,4,98117,1,1,2,3,4,0,0,,1,,,,2,,,,1,,,,1,,,,0,,,,0,,,,3,4,,,,,,,,2,1,1,1,1,1,1,5,2,1,3,2,5,2,1,1,3,2,4,5,1,4,2,1,5,5,4,5,1,12,0,0,0,1,5,5,4,3,4,4,5
